取引先ID,事業,会社名,業種,都道府県,市区町村,住所,決裁者役職,決裁者氏名,電話,メール,LINE,Instagram,X,URL,紹介元,ステージ,優先度,連絡NG,反社チェック日,リスト出所,取込日,最終接触日,次アクション,次アクション期限,メモ,重複キー
C000092,清掃,松原住宅（株）,管理会社,大阪府,堺市堺区,大阪府堺市堺区少林寺町東4丁1-20,,,,,,,,https://www.oyasan.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒590-0963,松原住宅
C000093,清掃,（株）ベストホーム,管理会社,大阪府,堺市堺区,大阪府堺市堺区出島海岸通1丁9番1号,,,,,,,,https://www.besthome.ne.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒590-0833,ベストホーム
C000094,清掃,生和不動産保証（株）,管理会社,大阪府,大東市,大阪府大東市浜町12-18,,,,,,,,https://www.kariage.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒574-0041,生和不動産保証
C000095,清掃,（株）三島コーポレーション,管理会社,大阪府,大東市,大阪府大東市赤井1丁目3-20,,,,,,,,https://www.mishima-corp.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒574-0046,三島コーポレーション
C000096,清掃,グローバルコミュニティ株式会社,管理会社,大阪府,大阪市中央区,大阪市中央区博労町3-3-7,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0059,グローバルコミュニティ
C000097,清掃,コーナン地所（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区道修町2丁目6-7淀屋橋近藤ビル 7F,,,,,,,,https://cohnan-jisho.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0045,コーナン地所
C000098,清掃,セプト株式会社,管理会社,大阪府,大阪市中央区,大阪市中央区備後町3-4-1,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0051,セプト
C000099,清掃,タカセ不動産株式会社,管理会社,大阪府,大阪市中央区,大阪市中央区瓦屋町1丁目9番20号,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒542-0066,タカセ不動産
C000100,清掃,パナソニックホームズ不動産（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区農人橋2丁目4-12-7F,,,,,,,,https://homes.panasonic.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒540-0011,パナソニックホームズ不動産
C000101,清掃,ブルースター（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南船場1丁目3ー27,,,,,,,,https://blue-bs.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0081,ブルースター
C000102,清掃,リースビル管理（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区久太郎町3丁目1-26,,,,,,,,https://www.leasebm.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0056,リースビル管理
C000103,清掃,三和通産（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区瓦町3丁目6-5銀泉備後町ビル10F,,,,,,,,https://sanwa-f.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0048,三和通産
C000104,清掃,京阪カインド（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区道修町2丁目6-7淀屋橋近藤ビル2階,,,,,,,,https://www.keihan-kind.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0045,京阪カインド
C000105,清掃,信和建設株式会社,管理会社,大阪府,大阪市中央区,大阪市中央区南船場1-18-11,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒542-0081,信和建設
C000106,清掃,掛谷不動産（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区本町1丁目3ー15本町NXビル1F,,,,,,,,https://0726.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0053,掛谷不動産
C000107,清掃,株式会社UTクリエイト,管理会社,大阪府,大阪市中央区,大阪市中央区南船場4丁目12番8号関西心斎橋ビル4階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒542-0081,UTクリエイト
C000108,清掃,株式会社アイ・エス・オー,管理会社,大阪府,大阪市中央区,大阪市中央区淡路町2-4-3,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0047,アイ・エス・オー
C000109,清掃,株式会社フェニックス管理,管理会社,大阪府,大阪市中央区,大阪市中央区南船場2-1-33PHOENIX南船場8F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒542-0081,フェニックス管理
C000110,清掃,株式会社和社,管理会社,大阪府,大阪市中央区,大阪市中央区東心斎橋1-10-9,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒542-0083,和社
C000111,清掃,株式会社宅都ホールディングス,管理会社,大阪府,大阪市中央区,大阪市中央区高麗橋3丁目2番7号オリックス高麗橋ビル2階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0043,宅都ホールディングス
C000112,清掃,株式会社第一住建,管理会社,大阪府,大阪市中央区,大阪市中央区備後町2-4-10,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0051,第一住建
C000113,清掃,株式会社誠真,管理会社,大阪府,大阪市中央区,大阪市中央区南久宝寺町2-3-2-1F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0058,誠真
C000114,清掃,積水ハウスシャーメゾンＰＭ関西（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区伏見町4丁目4-10新伏見町ビル8階,,,,,,,,https://www.sekisuihouse-f-kansai.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0044,積水ハウスシャーメゾンPM関西
C000115,清掃,響不動産リサーチ株式会社,管理会社,大阪府,大阪市中央区,大阪市中央区南本町1-4-10,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒541-0054,響不動産リサーチ
C000116,清掃,（有）アップルホーム,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南本町2丁目4-1STAR BUILDING 2F,,,,,,,,https://www.chintai-apple.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0054,アップルホーム
C000117,清掃,（有）トラスティーサービス,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南久宝寺町1丁目3-9星和CITYBLD南久宝寺701,,,,,,,,https://www.trustee.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0058,トラスティーサービス
C000118,清掃,（株）すまいる管理,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区瓦町4丁目4-8おおきにKOKODESU瓦町四丁目,,,,,,,,https://www.smile-service.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0048,すまいる管理
C000119,清掃,（株）アスパ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区博労町1丁目4-6イグレック南本町202,,,,,,,,https://www.asset-value.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0059,アスパ
C000120,清掃,（株）アパネット,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区本町2丁目2-5本町第2ビル4F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0053,アパネット
C000121,清掃,（株）エステートトーワ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南船場2丁目9-14NEビル,,,,,,,,https://www.et-k.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0081,エステートトーワ
C000122,清掃,（株）セオリーファクトリー,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区東心斎橋1丁目9ー21YF心斎橋ビル7階,,,,,,,,https://www.theoryfactory.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0083,セオリーファクトリー
C000123,清掃,（株）セルクル・プラス,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区備後町3丁目4-1備後町山口玄ビル8階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0051,セルクル・プラス
C000124,清掃,（株）トライユニティ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南船場3丁目2-22おおきに南船場ビル701号,,,,,,,,https://www.try-unity.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0081,トライユニティ
C000125,清掃,（株）ナビック,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区本町橋2-22第26松屋ビル901号室,,,,,,,,https://www.na-vic.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒540-0029,ナビック
C000126,清掃,（株）メインランドジャパン,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区久太郎町3丁目3-9ORIX久太郎町,,,,,,,,https://www.mljp.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0056,メインランドジャパン
C000127,清掃,（株）モダンアパートメント,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区平野町2丁目2-14先春園ビル4階,,,,,,,,https://m-apartment.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0046,モダンアパートメント
C000128,清掃,（株）リクレア・ライフエージェント,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区淡路町4丁目2-13アーバンネット御堂筋ビル7F,,,,,,,,https://www.recrea.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0047,リクレア・ライフエージェント
C000129,清掃,（株）レオコーポレーション,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区安土町1丁目5-8本町DSビル7階,,,,,,,,https://www.leo-corp.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0052,レオコーポレーション
C000130,清掃,（株）住宅サービス,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区備後町4丁目3-6アスティナ御堂筋本町3F,,,,,,,,https://www.jyutaku-sv.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0051,住宅サービス
C000131,清掃,（株）匠地所,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区高麗橋3丁目2-7オリックス高麗橋ビル2F,,,,,,,,https://www.takumijisho.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0043,匠地所
C000132,清掃,（株）港不動産,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区北浜東1-13,,,,,,,,https://www.minatoweb.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒540-0031,港不動産
C000133,清掃,（株）近畿建物管理,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区南船場1丁目6-12-10F,,,,,,,,https://www.kinkitatemono.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0081,近畿建物管理
C000134,清掃,（株）関西ホームサービス,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区博労町1丁目4-6イグレック南本町2F,,,,,,,,https://kansai-hs.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / JPM大阪府支部 正会員一覧 / JPM大阪府支部 正会員一覧 / 〒541-0059,関西ホームサービス
C000135,清掃,（株）ＤＭＣ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区中寺2丁目6-7瓦屋町ビル4階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒542-0066,DMC
C000136,清掃,（株）ＨＯＭＥプロデューサーＺＥＲＯ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区本町4丁目4-10IENTO本町ビル10F,,,,,,,,https://www.home-p-zero.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0053,HOMEプロデューサーZERO
C000137,清掃,（株）ＴＡＫＵＴＯ　ＩＮＶＥＳＴＭＥＮＴ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区高麗橋3丁目2-7オリックス高麗橋ビル2階,,,,,,,,https://www.takuto-investment.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0043,TAKUTOINVESTMENT
C000138,清掃,（株）ＵｐＬｉｆｅ,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区北久宝寺町4丁目4-7VPO本町セントラル9階,,,,,,,,https://uplife.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒541-0057,UpLife
C000139,清掃,ＫＳＣ（株）,管理会社,大阪府,大阪市中央区,大阪府大阪市中央区大手前1丁目7-24,,,,,,,,https://k-sc.info,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒540-0008,KSC
C000140,清掃,（株）エリアリサーチ,管理会社,大阪府,大阪市住之江区,大阪府大阪市住之江区南港東3丁目2-40,,,,,,,,https://area-research-s.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒559-0031,エリアリサーチ
C000141,清掃,バルゴプロパティ（株）,管理会社,大阪府,大阪市住吉区,大阪府大阪市住吉区杉本1丁目2-4,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒558-0022,バルゴプロパティ
C000142,清掃,阪急阪神不動産（株）,管理会社,大阪府,大阪市住吉区,大阪府大阪市住吉区我孫子東2丁目7-13,,,,,,,,https://www.hhp.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒558-0013,阪急阪神不動産
C000143,清掃,（株）マツヤマスマイルホーム,管理会社,大阪府,大阪市住吉区,大阪府大阪市住吉区苅田7丁目6-24,,,,,,,,https://www.smilehome.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒558-0011,マツヤマスマイルホーム
C000144,清掃,アイケイ不動産（株）,管理会社,大阪府,大阪市城東区,大阪府大阪市城東区蒲生2丁目1-28ブランブリエ京橋1階,,,,,,,,https://www.kensetumap.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒536-0016,アイケイ不動産
C000145,清掃,（株）オークラハンズ,管理会社,大阪府,大阪市城東区,大阪府大阪市城東区今福東3丁目12-19,,,,,,,,https://www.ohkurahands.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒536-0002,オークラハンズ
C000146,清掃,（株）リア・ライブ,管理会社,大阪府,大阪市城東区,大阪府大阪市城東区成育2丁目16-15,,,,,,,,https://www.rearlive.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒536-0007,リア・ライブ
C000147,清掃,株式会社協和産業,管理会社,大阪府,大阪市天王寺区,大阪市天王寺区生玉前町5-10協和谷町ビル,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒543-0072,協和産業
C000148,清掃,（株）アーバネストプロパティ,管理会社,大阪府,大阪市天王寺区,大阪府大阪市天王寺区玉造元町2-31,,,,,,,,https://unest-pro.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒543-0014,アーバネストプロパティ
C000149,清掃,（株）ケーティージー,管理会社,大阪府,大阪市天王寺区,大阪府大阪市天王寺区国分町18-10ケミカテックビル3階,,,,,,,,https://www.ktg-ltd.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒543-0044,ケーティージー
C000150,清掃,（株）リアルエステート,管理会社,大阪府,大阪市天王寺区,大阪府大阪市天王寺区生玉前町5-31アンビション三和IIビル,,,,,,,,https://re-estate.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒543-0072,リアルエステート
C000151,清掃,（株）ＧｏｏｄＨｉｌｌ　Ｒｅａｌ　Ｅｓｔａｔｅ,管理会社,大阪府,大阪市天王寺区,大阪府大阪市天王寺区堂ケ芝2丁目13ー2コーリンコバヤシビル4階,,,,,,,,https://goodhill-re.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒543-0033,GoodHillRealEstate
C000152,清掃,フジ・アメニティサービス（株）,管理会社,大阪府,大阪市平野区,大阪府大阪市平野区長吉長原2丁目14-20,,,,,,,,https://www.fuji-amenity.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒547-0016,フジ・アメニティサービス
C000153,清掃,（株）スーパー・コート,管理会社,大阪府,大阪市平野区,大阪府大阪市平野区加美東4丁目10-14-2F,,,,,,,,https://www.supercourt.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒547-0002,スーパー・コート
C000154,清掃,（株）Ｍａｃｈｉｄａハウジング,管理会社,大阪府,大阪市平野区,大阪府大阪市平野区加美鞍作3丁目8-22,,,,,,,,https://www.machida-koumuten.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒547-0004,Machidaハウジング
C000155,清掃,株式会社商都,管理会社,大阪府,大阪市東住吉区,大阪市東住吉区中野4-15-21,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒546-0012,商都
C000156,清掃,（株）おくの,管理会社,大阪府,大阪市東成区,大阪府大阪市東成区中道1丁目4-2森之宮スカイガーデンハウス4階,,,,,,,,https://ok-okuno-agent.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒537-0025,おくの
C000157,清掃,（株）ヴィクトリア・マネジメント,管理会社,大阪府,大阪市東成区,大阪府大阪市東成区東小橋1丁目1-21オークラハンズビル1F,,,,,,,,https://victoria-investment.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒537-0024,ヴィクトリア・マネジメント
C000158,清掃,ＭＳニューマン（株）,管理会社,大阪府,大阪市東成区,大阪府大阪市東成区中道1丁目10ー26サクラ森ノ宮ビル,,,,,,,,https://www.ms-newman.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒537-0025,MSニューマン
C000159,清掃,ケイエスコミュニティ（株）,管理会社,大阪府,大阪市港区,大阪府大阪市港区築港3丁目7-15港振興ビル217号室,,,,,,,,https://www.kscommunity.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒552-0021,ケイエスコミュニティ
C000160,清掃,ミラ・パレマネージメント（株）,管理会社,大阪府,大阪市西区,大阪府大阪市西区新町1丁目8-1 行成ビル6F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0013,ミラ・パレマネージメント
C000161,清掃,株式会社スター・プロパティーズ,管理会社,大阪府,大阪市西区,大阪市西区南堀江2丁目1番10号1階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒550-0015,スター・プロパティーズ
C000162,清掃,近畿ハウジング（株）,管理会社,大阪府,大阪市西区,大阪府大阪市西区新町1丁目4-21大幸ビル内,,,,,,,,https://www.kinki-housing.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0013,近畿ハウジング
C000163,清掃,（株）アルカディア管財,管理会社,大阪府,大阪市西区,大阪府大阪市西区北堀江1丁目2-19アステリオ北堀江ザ・メトロタワー3F,,,,,,,,https://www.arkadia-k.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0014,アルカディア管財
C000164,清掃,（株）アルシンク,管理会社,大阪府,大阪市西区,大阪府大阪市西区新町1丁目4-26四ツ橋グランドビル,,,,,,,,https://althink.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0013,アルシンク
C000165,清掃,（株）ズーム,管理会社,大阪府,大阪市西区,大阪府大阪市西区西本町1丁目7-7,,,,,,,,https://www.zoom-web.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0005,ズーム
C000166,清掃,（株）ツインライフ,管理会社,大阪府,大阪市西区,大阪府大阪市西区立売堀1丁目2-14本町産金ビル8階,,,,,,,,https://www.twinlife.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0012,ツインライフ
C000167,清掃,（株）フロントハウジング,管理会社,大阪府,大阪市西区,大阪府大阪市西区京町堀1丁目8-31安田会館ビル205,,,,,,,,https://fronthousing.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0003,フロントハウジング
C000168,清掃,（株）ムーブメント,管理会社,大阪府,大阪市西区,大阪府大阪市西区南堀江1丁目19-8MP南堀江,,,,,,,,https://www.movement.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0015,ムーブメント
C000169,清掃,（株）東黎トラスト,管理会社,大阪府,大阪市西区,大阪府大阪市西区立売堀2丁目4-5DGビルなにわ筋,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0012,東黎トラスト
C000170,清掃,ＩＮＡ＆Ａｓｓｏｃｉａｔｅｓ（株）,管理会社,大阪府,大阪市西区,大阪府大阪市西区江戸堀1丁目17-16肥後橋INAビル,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒550-0002,INA&Associates
C000171,清掃,株式会社サバイ総合管理,管理会社,大阪府,大阪市西成区,大阪市西成区岸里3-1-13,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒557-0041,サバイ総合管理
C000172,清掃,（株）エコホームズ,管理会社,大阪府,大阪市西成区,大阪府大阪市西成区千本中1丁目3-1辻ビル1階,,,,,,,,https://www.eco-homes.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒557-0054,エコホームズ
C000173,清掃,（株）ミヤビグループ,管理会社,大阪府,大阪市西成区,大阪府大阪市西成区岸里3丁目10ー13,,,,,,,,https://miyabi-group.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒557-0041,ミヤビグループ
C000174,清掃,（株）つばさ資産パートナーズ,管理会社,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区松崎町4丁目2-3,,,,,,,,https://tsubasa.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒545-0053,つばさ資産パートナーズ
C000175,清掃,（株）アーサメジャー,管理会社,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区阿倍野筋1丁目1-43あべのハルカス31F,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒545-6031,アーサメジャー
C000176,清掃,（株）エリオン,管理会社,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区阿倍野筋2丁目4-47,,,,,,,,https://elion.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒545-0052,エリオン
C000177,清掃,ＡＧＡＩＮ（株）,管理会社,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区文の里4丁目2-4AGAIN文の里1F,,,,,,,,https://again-osaka.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒545-0004,AGAIN
C000178,清掃,日建ハウジング（株）,管理会社,大阪府,大阪市鶴見区,大阪府大阪市鶴見区諸口3丁目4-38,,,,,,,,https://www.nikken-housing.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒538-0051,日建ハウジング
C000179,清掃,松本ビル管理（株）,管理会社,大阪府,守口市,大阪府守口市大日東町21-1,,,,,,,,https://www.matumoto-kanri.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒570-0016,松本ビル管理
